shap_value,feature
0.0008116859896588917,momentum_pvo_hist_200
0.00047213707429526766,exceptional_item_qtr
0.00042040720180393297,momentum_tsi_50
0.00033481304695016245,trend_ichimoku_a_10
0.0003160024055523922,volatility_atr_20
0.00030156862593374857,volume_nvi_50
0.00030048851108494163,momentum_wr
0.0002861219027773532,momentum_stoch_rsi_d_50
0.00022518087626466563,trend_kst_sig_5
0.00020830830645462308,trend_vortex_ind_neg_5
0.00020604932966813608,trend_cci_100
0.0001781332011758001,trend_trix_5
0.0001289586402651298,trend_vortex_ind_pos_100
0.0001278718579462495,volatility_bbli_200
0.00012389115772139906,volume_sma_em_20
0.00011189511959204968,trend_ema_fast_100
9.978408215573864e-05,momentum_wr_20
7.810913380042047e-05,trend_stc_5
7.571657733167229e-05,trend_ema_slow_10
7.25350766822404e-05,volatility_dcl_10
6.485582993840626e-05,close
6.297625902737036e-05,others_dlr_200
6.268302381623576e-05,momentum_ppo_50
6.053678439518601e-05,momentum_ppo_hist_50
5.5829023631539315e-05,volatility_kcp_10
5.2908680389533704e-05,momentum_stoch_rsi_k_50
5.247749650222137e-05,volume_sma_em
5.046882978752466e-05,trend_psar_down_indicator_50
5.0219886060247636e-05,employee_benefit_expense_qtr
4.578310221131101e-05,volatility_bbw_20
4.441163860638663e-05,number_of_public_shareholding_qtr
4.242385836753127e-05,trend_aroon_down_5
4.241897244945601e-05,trend_visual_ichimoku_b_50
4.012291949632964e-05,volatility_bbm_50
3.9855391775171404e-05,trend_ema_slow_100
3.958206086829413e-05,trend_kst_sig_100
3.908021322199255e-05,momentum_ppo_hist
3.893025498805018e-05,trend_visual_ichimoku_a_50
3.822009260708349e-05,momentum_ppo_20
3.676653656063532e-05,volume_em_20
3.624711618199288e-05,momentum_pvo_50
3.597538606561335e-05,others_cr_200
3.529062554936524e-05,trend_visual_ichimoku_b_5
3.3167705660834564e-05,trend_vortex_ind_diff_5
3.2311267868036884e-05,trend_macd_50
3.20038977378946e-05,momentum_ppo_signal_50
3.1335059334337456e-05,trend_sma_slow_200
3.1219470321795236e-05,employee_benefit_expenses_qtr
2.9334569671046196e-05,trend_aroon_ind
2.8977945246973874e-05,momentum_roc
2.845112467877694e-05,low_20
2.727876911468157e-05,others_dr_20
2.7187176679019975e-05,volatility_bbm_20
2.626968752573226e-05,net_profit_yrly
2.4873412329553304e-05,volatility_dcp_20
2.449322897704029e-05,trend_sma_fast_10
2.4387759234137e-05,volatility_ui_100
2.410703200278179e-05,volatility_kcc_200
2.405746147689206e-05,trend_ichimoku_a_50
2.3787230152227576e-05,volatility_kcc_20
2.3670677614724594e-05,adj close
2.34005619391e-05,volume_adi
2.27951039648944e-05,volume_obv
2.2460876068694807e-05,trend_adx_neg_10
2.2447996247563968e-05,momentum_pvo_signal
2.21625997641262e-05,momentum_stoch_signal_20
2.2157026409021737e-05,trend_ichimoku_b_50
