date,profit_loss_from_ordinary_activities_before_tax_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,tax_qtr,deferred_tax_qtr,profit_before_interest_and_exceptional_items_qtr,finance_costs_qtr,basic_eps_qtr,depreciation_and_amortisation_expense_qtr,net_sales_qtr,other_income_qtr,basic_for_discontinued_continuing_operation_qtr,other_expenses_qtr,current_tax_qtr,total_income_qtr,diluted_eps_qtr,interest_qtr,profit_after_interest_but_before_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr,face_value_in_rs_qtr,net_profit_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr
2008-04-01,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-02,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-03,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-04,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-05,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-06,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-07,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-08,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-09,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-10,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-11,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-12,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-13,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-14,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-15,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-16,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-17,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-18,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-19,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-20,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-21,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-22,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-23,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-24,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-25,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-26,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-27,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-28,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-29,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-04-30,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-01,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-02,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-03,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-04,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-05,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-06,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-07,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-08,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-09,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-10,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-11,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-12,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-13,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-14,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-15,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-16,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-17,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-18,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-19,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-20,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-21,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-22,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-23,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-24,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-25,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
2008-05-26,429.80,332.30,-97.5,,,,4.56,,,1.9,,,,"3,379.20",4.56,-144.8,,364.0,"-2,804.60",5.0,332.30,4.56,
