date,other_expenses_yrly,diluted_eps_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,depreciation_and_amortisation_expense_yrly,other_income_yrly,basic_eps_yrly,profit_after_interest_but_before_exceptional_items_yrly,net_profit_loss_from_ordinary_activities_after_tax_yrly,net_profit_yrly,expenditure_yrly,tax_yrly
2015-04-01,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-02,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-03,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-04,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-05,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-06,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-07,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-08,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-09,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-10,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-11,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-12,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-13,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-14,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-15,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-16,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-17,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-18,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-19,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-20,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-21,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-22,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-23,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-24,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-25,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-26,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-27,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-28,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-29,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-04-30,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
