other_income,net_profit_loss_from_ordinary_activities_after_tax,tax,profit_loss_from_ordinary_activities_before_tax,date,expenditure,net_profit,profit_after_interest_but_before_exceptional_items,depreciation_and_amortisation_expense,finance_costs,total_income,employee_benefit_expense,exceptional_item,basic_eps,diluted_eps
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-01,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-02,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-03,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-04,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-05,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-06,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-07,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-08,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-09,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-10,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-11,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-12,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-13,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-14,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-15,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-16,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-17,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-18,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-19,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-20,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-21,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-22,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-04-23,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
