depreciation_and_amortisation_expense_qtr,employee_benefit_expenses_qtr,employee_benefit_expense_qtr,equity_capital_qtr,exceptional_item_qtr,expenditure_qtr,face_value_in_rs_qtr,finance_costs_qtr,interest_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,net_profit_qtr,number_of_public_shareholding_qtr,other_income_qtr,percentage_of_public_shareholding_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_before_interest_and_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,revenue_from_operations_qtr,tax_qtr,total_income_qtr,basic_eps_qtr,date_qtr,diluted_eps_qtr
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-01,18.22
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-02,18.22
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-03,18.22
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-04,18.22
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-05,18.22
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-06,18.22
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-07,18.22
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-08,18.22
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-09,18.22
-126.6,,"-1,412.70",,,"-11,584.50",,"-8,018.30",,"2,852.50","2,852.50",,2.0,,"4,387.80","4,387.80",,,"15,970.30","-1,535.30","15,972.30",18.25,2018-04-10,18.22
