date,net_profit_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,other_income_qtr,tax_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,depreciation_and_amortisation_expense_qtr,other_expenses_qtr,basic_eps_qtr,expenditure_qtr,diluted_eps_qtr,profit_after_interest_but_before_exceptional_items_qtr
2008-04-01,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-02,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-03,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-04,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-05,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-06,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-07,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-08,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-09,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-10,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-11,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-12,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-13,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-14,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-15,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-16,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-17,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-18,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-19,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-20,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-21,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-22,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-23,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-24,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-25,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-26,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-27,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-28,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-29,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-04-30,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-01,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-02,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-03,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-04,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-05,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-06,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-07,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-08,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-09,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-10,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-11,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-12,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-13,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-14,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-15,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-16,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-17,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-18,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-19,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-20,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-21,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-22,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-23,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-24,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-25,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-26,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-05-27,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
