date,net_profit_loss_from_ordinary_activities_after_tax_yrly,current_tax_yrly,basic_eps_for_continuing_operation_yrly,net_profit_yrly,finance_costs_yrly,employee_benefit_expense_yrly,profit_after_interest_but_before_exceptional_items_yrly,net_sales_yrly,tax_yrly,diluted_for_discontinued_continuing_operation_yrly,diluted_eps_yrly,basic_for_discontinued_continuing_operation_yrly,other_income_yrly,total_income_yrly,expenditure_yrly,depreciation_and_amortisation_expense_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,exceptional_item_yrly,other_expenses_yrly,deferred_tax_yrly,diluted_eps_for_continuing_operation_yrly,basic_eps_yrly
2008-04-01,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-02,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-03,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-04,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-05,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-06,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-07,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-08,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-09,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-10,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-11,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-12,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-13,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-04-14,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
