date,profit_loss_from_ordinary_activities_before_tax_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,tax_qtr,deferred_tax_qtr,profit_before_interest_and_exceptional_items_qtr,finance_costs_qtr,basic_eps_qtr,depreciation_and_amortisation_expense_qtr,net_sales_qtr,other_income_qtr,basic_for_discontinued_continuing_operation_qtr,other_expenses_qtr,current_tax_qtr,total_income_qtr,diluted_eps_qtr,interest_qtr,profit_after_interest_but_before_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr,face_value_in_rs_qtr,net_profit_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr
2008-04-01,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-02,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-03,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-04,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-05,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-06,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-07,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-08,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-09,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-10,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-11,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-12,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-13,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-14,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-15,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-16,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-17,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-18,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-19,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-20,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-21,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-22,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-23,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-24,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-25,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-26,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-27,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-28,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-29,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-04-30,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-01,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-02,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-03,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-04,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-05,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-06,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-07,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-08,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-09,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-10,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-11,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-12,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-13,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-14,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-15,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-16,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-17,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-18,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-19,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-20,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-21,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-22,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-23,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-24,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-25,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-26,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-27,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-28,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-29,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-30,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
2008-05-31,294.50,236.30,-58.2,,,,9.42,,,3.7,,,,"2,954.40",9.38,-39.8,,250.9,"-2,443.60",10.0,236.30,,
