depreciation_and_amortisation_expense_qtr,employee_benefit_expenses_qtr,employee_benefit_expense_qtr,equity_capital_qtr,exceptional_item_qtr,expenditure_qtr,face_value_in_rs_qtr,finance_costs_qtr,interest_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,net_profit_qtr,number_of_public_shareholding_qtr,other_income_qtr,percentage_of_public_shareholding_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_before_interest_and_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,revenue_from_operations_qtr,tax_qtr,total_income_qtr,basic_eps_qtr,date_qtr,diluted_eps_qtr
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-01,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-02,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-03,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-04,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-05,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-06,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-07,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-08,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-09,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-10,13.62
