current_tax_qtr,face_value_in_rs_qtr,diluted_eps_qtr,other_expenses_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,deferred_tax_qtr,tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,finance_costs_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,total_income_qtr,basic_eps_qtr,date,interest_qtr,depreciation_and_amortisation_expense_qtr,net_profit_qtr,basic_for_discontinued_continuing_operation_qtr,net_sales_qtr,other_income_qtr,profit_before_interest_and_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-01,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-02,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-03,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-04,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-05,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-06,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-07,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-08,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-09,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-10,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-11,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-12,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-13,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-14,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-15,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-16,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-04-17,-0.01,,180.01,,,110.62,,168.61,-899.65
