date,diluted_eps_qtr,deferred_tax_qtr,employee_benefit_expenses_qtr,expenditure_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,diluted_for_discontinued_continuing_operation_qtr,other_expenses_qtr,net_sales_qtr,basic_for_discontinued_continuing_operation_qtr,total_income_qtr,current_tax_qtr,employee_benefit_expense_qtr,depreciation_and_amortisation_expense_qtr,equity_capital_qtr,profit_before_interest_and_exceptional_items_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,basic_eps_for_continuing_operation_qtr,other_income_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,face_value_in_rs_qtr,exceptional_item_qtr,basic_diluted_eps_after_extraordinary_items_qtr,basic_eps_qtr,finance_costs_qtr,tax_qtr,diluted_eps_for_continuing_operation_qtr,interest_qtr,net_profit_qtr
2009-04-01,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
2009-04-02,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
2009-04-03,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
2009-04-04,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
2009-04-05,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
2009-04-06,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
2009-04-07,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
2009-04-08,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
2009-04-09,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
2009-04-10,23.6,,,"-4,593.88",942.44,,,,,,,,,254.05,"1,057.81",942.16,"1,044.58",,13.23,599.54,10.0,0.28,23.6,23.6,,-342.90,,-115.64,599.54
