date,net_profit_loss_from_ordinary_activities_after_tax_yrly,current_tax_yrly,basic_eps_for_continuing_operation_yrly,net_profit_yrly,finance_costs_yrly,employee_benefit_expense_yrly,profit_after_interest_but_before_exceptional_items_yrly,net_sales_yrly,tax_yrly,diluted_for_discontinued_continuing_operation_yrly,diluted_eps_yrly,basic_for_discontinued_continuing_operation_yrly,other_income_yrly,total_income_yrly,expenditure_yrly,depreciation_and_amortisation_expense_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,exceptional_item_yrly,other_expenses_yrly,deferred_tax_yrly,diluted_eps_for_continuing_operation_yrly,basic_eps_yrly
2009-07-01,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-02,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-03,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-04,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-05,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-06,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-07,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-08,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-09,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-10,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-11,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-12,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-13,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-14,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-15,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-16,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-17,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-18,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-19,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-20,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-21,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-22,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-23,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-24,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-25,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-26,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-27,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-28,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-29,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-30,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-07-31,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-08-01,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-08-02,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-08-03,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-08-04,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-08-05,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-08-06,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-08-07,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-08-08,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
2009-08-09,"1,448.30",,,"1,448.30",,,"2,196.15",,-747.85,,57.01,,70.78,,"-17,693.11",,"2,196.15",,,,,57.01
