depreciation_and_amortisation_expense_yrly,employee_benefit_expense_yrly,exceptional_item_yrly,expenditure_yrly,finance_costs_yrly,net_profit_loss_from_ordinary_activities_after_tax_yrly,net_profit_yrly,other_income_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,profit_after_interest_but_before_exceptional_items_yrly,total_income_yrly,basic_eps_yrly,date_yrly,diluted_eps_yrly
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-01,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-02,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-03,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-04,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-05,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-06,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-07,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-08,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-09,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-10,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-11,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-12,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-13,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-14,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-15,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-16,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-17,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-18,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-19,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-20,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-21,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-22,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-23,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-24,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-25,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-26,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-27,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-28,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-29,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-04-30,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-01,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-02,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-03,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-04,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-05,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-06,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-07,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-08,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-09,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-10,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-11,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-05-12,-5.86
