id,date,polarity,subjectivity,compound
2,2009-01-08,0.08,0.63,0.36
7,2009-01-08,-0.04,0.37,0.95
3,2009-01-08,-0.02,0.46,-0.63
0,2009-01-08,0.04,0.21,0.74
5,2009-01-08,0.09,0.44,1.0
6,2009-01-08,0.12,0.44,0.96
1,2009-01-08,0.03,0.2,-0.94
4,2009-01-08,0.11,0.55,-0.3
8,2009-01-08,0.06,0.34,0.96
10,2009-01-08,-0.04,0.53,0.79
9,2009-01-08,0.05,0.3,0.97
11,2009-01-08,0.02,0.2,0.82
14,2009-01-08,0.03,0.5,-0.93
13,2009-01-08,0.07,0.23,0.87
12,2009-01-08,0.14,0.41,0.65
15,2009-01-08,0.11,0.31,0.99
16,2009-01-08,0.13,0.49,0.62
17,2009-01-08,0.12,0.46,0.31
19,2009-01-08,0.06,0.37,-0.2
18,2009-01-08,0.02,0.29,-0.96
20,2009-01-08,0.08,0.42,0.98
22,2009-01-08,0.06,0.48,1.0
21,2009-01-08,-0.03,0.35,0.72
23,2009-01-08,0.06,0.46,0.99
24,2009-01-08,-0.01,0.42,0.69
26,2009-01-08,-0.08,0.49,-0.74
25,2009-01-08,0.06,0.34,1.0
29,2009-01-08,-0.11,0.46,-0.98
27,2009-01-08,-0.03,0.35,-0.88
31,2009-01-08,-0.1,0.32,-0.62
32,2009-01-08,0.06,0.38,-0.27
35,2009-01-08,0.07,0.41,0.83
36,2009-01-08,0.16,0.46,1.0
33,2009-01-08,0.03,0.31,-0.25
34,2009-01-08,0.11,0.52,0.97
37,2009-01-08,0.01,0.38,0.92
38,2009-01-08,0.05,0.36,0.08
42,2009-01-08,-0.01,0.41,0.97
39,2009-01-08,0.11,0.38,0.08
44,2009-01-08,0.09,0.45,0.92
41,2009-01-08,-0.05,0.36,-0.97
43,2009-01-08,0.08,0.38,0.98
30,2009-01-08,-0.06,0.29,-0.95
49,2009-01-08,0.03,0.36,0.73
46,2009-01-08,0.04,0.32,0.81
48,2009-01-08,0.02,0.21,-0.74
47,2009-01-08,0.11,0.44,0.92
50,2009-01-08,0.0,0.35,-0.56
40,2009-01-08,0.08,0.37,0.95
51,2009-01-08,0.05,0.38,0.99
45,2009-01-08,0.1,0.36,0.92
53,2009-01-08,-0.05,0.29,-0.97
28,2009-01-08,0.0,0.27,0.4
52,2009-01-08,0.06,0.4,0.83
56,2009-01-08,-0.01,0.37,-1.0
58,2009-01-08,0.17,0.42,0.96
54,2009-01-08,0.07,0.51,-0.98
61,2009-01-01,0.06,0.3,0.99
59,2009-01-08,0.04,0.19,-0.83
57,2009-01-08,0.03,0.33,-0.99
64,2009-01-02,-0.04,0.25,0.96
60,2009-01-08,0.03,0.55,-0.99
63,2009-01-06,0.02,0.18,-0.51
55,2009-01-08,0.03,0.49,-0.99
66,2009-01-07,0.06,0.5,-0.98
65,2009-01-03,0.01,0.45,0.82
70,2009-01-08,0.06,0.28,-0.97
68,2009-01-09,0.19,0.53,-0.23
73,2009-01-08,0.06,0.5,0.97
72,2009-01-08,0.05,0.35,-0.97
71,2009-01-08,-0.04,0.41,0.32
69,2009-01-08,0.09,0.39,-0.99
76,2009-01-08,-0.05,0.41,-0.68
74,2009-01-08,0.2,0.42,1.0
78,2009-01-08,0.23,0.38,0.87
75,2009-01-08,0.19,0.5,1.0
62,2009-01-04,0.08,0.32,0.98
79,2009-01-08,0.05,0.54,0.96
