date,Net Sales_QTR,Other Income_QTR,Total Income_QTR,Expenditure_QTR,Cost of Materials Consumed_QTR,Finance Costs_QTR,Other Expenses_QTR,Purchases of stock-in-trade_QTR,"Changes in inventories of finished goods, work-in-progress and stock-in-trade_QTR",Employee benefit expense_QTR,Depreciation and amortisation expense_QTR,Profit (+)/ Loss (-) from Ordinary Activities before Tax_QTR,Tax_QTR,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax_QTR,Net Profit_QTR,Current tax_QTR,Deferred tax_QTR,Minority Interest_QTR,Share of Profit & Loss of Asso_QTR,Net Profit after Mino Inter & Share of P & L_QTR,Any Other_QTR,Income Attributable to Consolidated Group_QTR,EPS after Extraordinary items (in Rs)_QTR,Exceptional Item_QTR,Profit after Interest but before Exceptional Items_QTR,Net Profit Loss for the period from continuing operations_QTR,Profit (loss) from discontinuing operations before tax_QTR,Tax expense of discontinuing operations_QTR,Net profit (loss) from discontinuing operation after tax_QTR,Other Comprehensive Income Net of Taxes_QTR,Any Other Comprehensive Item_QTR,Total Comprehensive Income for the Period_QTR,Total Amount of items that will not be reclassified to profit and loss_QTR,Income tax relating to items that will not be reclassified to profit or loss_QTR,Total Amount of items that will be reclassified to profit and loss_QTR,Income tax relating to items that will be reclassified to profit or loss_QTR,Net movement in regulatory deferral account balances_QTR,Share of profit(loss) of associates and joint ventures_QTR,Basic EPS for continuing operation_QTR,Diluted EPS for continuing operation_QTR,Basic for discontinued & continuing operation_QTR,Diluted for discontinued & continuing operation_QTR,_QTR,basic_eps_QTR,diluted_eps_QTR,Others_QTR,Short/(Excess) Provision of Earlier Years_QTR,Net Sales/Revenue From Operations_QTR,Deferred tax liability / (asset)_QTR,Revenue from Operations_QTR,Purchase of Stock in Trade_QTR,Diluted EPS before Extraordinary items_QTR,Foreign Exchange (Gain) / Loss_QTR,Net Sales/Income from Operations (Net of Excise Duty)_QTR,Current - net of Short/(Excess) provision of earlier years_QTR,Employee Benefit Expenses_QTR,Diluted EPS after Extraordinary items_QTR,Basic EPS after Extraordinary items_QTR,Profit before Interest and Exceptional Items_QTR,Cost of Material Consumed_QTR,Interest_QTR,Other Operating Income_QTR,Deferred Tax_QTR,"Profit from Operations before Other Income, Interest and Exceptional Items_QTR",Equity Capital_QTR,Face Value (in Rs)_QTR,Basic EPS before Extraordinary items_QTR,"Changes in inventories of finished goods, wip and Stock-in-trade_QTR",Excise Duty On Sale_QTR,Gross Sales / Income from operations_QTR,Purchases of Stock in Trade_QTR,Employee benefits expenses_QTR,"Changes in inventories of finished goods, Work in Progress and Stock in Trade_QTR",% of the total share capital of the company_QTR,Percentage of Public Shareholding_QTR,% of the total of promoter & promoter group_QTR,%  of the total share capital of the company_QTR,Non-encumbered Number of Shares_QTR,%  of the total of promoter & promoter group_QTR,Number of Public Shareholding_QTR,Basic & Diluted EPS after Extraordinary items_QTR,Foreign Exchange transactions/translations (gain) / loss_QTR,Encumbered Number  of Shares_QTR,Short/(-) excess provisions for Current tax of earlier years_QTR,Financial Cost_QTR,Current Tax_QTR,Net Sales / Income from Operations_QTR,Current net of Short / (Excess) provision of earlier year _QTR,Tax Expense_QTR,Finance Cost_QTR,(Increase) / Decrease In Stock In Trade & WIP_QTR,Purchase of Traded Goods_QTR,Tax expenses (Including Deferred Tax & tax for earlier year)_QTR,Manufacturing & Other Expenditure_QTR,Foreign Exchange translation gain / (loss)_QTR,Employees Cost_QTR,Depreciation & Amortization_QTR,Material Consumption_QTR,Construction Materials_QTR,Material Consumed_QTR,Purchase of Trade Goods_QTR,Depreciation / Amortisation_QTR,Foreign Exchange (Gain) / Loss (Net)_QTR,Tax expenses (Including Deferred Tax)_QTR,Manufacturing & Other Expenses_QTR,Foreign Exchange Traslation_QTR,Other Expenditure_QTR,Materials Consumption_QTR,Foreign Exchange Traslation Exp_QTR,"Tax expenses (Including Deferred Tax, Fringe Benifit Tax & earlier year provision)_QTR",Income Tax Relating to Earlier Years_QTR,Consumption of Materials_QTR,Deferred Tax & Fringe Benefit Tax_QTR,Consumption of Raw Materials_QTR,Provision for Investment / loan in Subsidiary_QTR,Extraordinary Items_QTR
2022-04-01,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-02,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-03,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-05,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-06,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-07,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-08,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-09,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-10,"15,857.40",221.10,"16,078.50","-13,851.60","-4,538.80",-69.40,"-4,150.60","-1,131.50",-117.00,"-3,227.20",-617.10,"2,226.90",-742.60,"1,484.30","1,452.40",-623.60,-119.00,0.00,0.00,"1,452.40",0.00,"1,452.40",,0.00,"2,226.90","1,484.30",0.00,0.00,0.00,18.60,0.00,"1,471.00",0.00,0.00,0.00,0.00,0.00,-31.90,5.64,5.64,5.64,5.64,Notes,5.64,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
