Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,621.0,629.8499755859375,563.7999877929688,595.5499877929688,595.5499877929688,3677215
2017-10-17,597.5999755859375,599.8499755859375,583.0999755859375,587.2999877929688,587.2999877929688,426167
2017-10-18,587.4000244140625,604.7000122070312,580.0,596.8499755859375,596.8499755859375,351215
2017-10-19,600.9500122070312,601.9500122070312,587.5999755859375,592.5499877929688,592.5499877929688,60003
2017-10-23,591.0,596.8499755859375,580.2000122070312,582.4500122070312,582.4500122070312,93403
2017-10-24,582.0,587.1500244140625,576.3499755859375,580.7999877929688,580.7999877929688,171056
2017-10-25,584.0,584.0,555.8499755859375,558.9000244140625,558.9000244140625,165865
2017-10-26,558.9000244140625,561.0,543.2000122070312,546.4000244140625,546.4000244140625,88029
2017-10-27,549.9000244140625,571.9000244140625,549.2000122070312,558.6500244140625,558.6500244140625,96048
2017-10-30,565.0,574.0,561.5999755859375,569.7000122070312,569.7000122070312,70348
2017-10-31,565.0,582.0,565.0,575.7000122070312,575.7000122070312,51859
2017-11-01,578.0,582.75,570.1500244140625,574.9000244140625,574.9000244140625,85266
2017-11-02,570.5999755859375,578.9500122070312,542.3499755859375,564.25,564.25,80479
2017-11-03,569.0,575.25,566.0499877929688,569.7999877929688,569.7999877929688,72806
2017-11-06,559.0,559.9500122070312,548.0,549.2999877929688,549.2999877929688,136522
2017-11-07,554.0,554.5999755859375,542.0499877929688,545.7999877929688,545.7999877929688,373181
2017-11-08,546.0,554.0,539.0999755859375,545.9000244140625,545.9000244140625,49053
2017-11-09,550.0,553.25,541.9500122070312,545.2999877929688,545.2999877929688,27504
2017-11-10,549.9000244140625,551.5999755859375,542.25,548.1500244140625,548.1500244140625,36280
2017-11-13,549.0,550.0,536.0499877929688,539.25,539.25,370286
2017-11-14,536.0,539.9000244140625,525.2000122070312,528.8499755859375,528.8499755859375,54657
2017-11-15,528.8499755859375,534.7000122070312,527.6500244140625,529.8499755859375,529.8499755859375,36028
2017-11-16,526.2000122070312,536.1500244140625,524.0,532.2999877929688,532.2999877929688,37126
2017-11-17,533.0,543.0,531.2000122070312,537.5999755859375,537.5999755859375,31302
2017-11-20,540.0,550.5,538.25,548.0,548.0,38221
2017-11-21,552.1500244140625,564.6500244140625,551.0999755859375,558.0499877929688,558.0499877929688,44142
2017-11-22,552.2000122070312,565.0,552.2000122070312,557.5,557.5,24443
2017-11-23,559.0,563.0,547.5,548.5499877929688,548.5499877929688,17444
2017-11-24,548.5499877929688,553.5,546.5999755859375,550.0499877929688,550.0499877929688,27428
2017-11-27,550.0,550.25,542.0,544.7999877929688,544.7999877929688,17909
2017-11-28,541.2000122070312,546.0,540.0,541.5499877929688,541.5499877929688,19389
2017-11-29,541.5499877929688,544.0,536.25,537.3499755859375,537.3499755859375,15539
2017-11-30,535.7000122070312,563.9500122070312,535.0999755859375,552.5,552.5,34941
2017-12-01,559.5999755859375,560.0,550.5,553.2000122070312,553.2000122070312,22610
2017-12-04,552.0,560.0499877929688,547.0,552.9000244140625,552.9000244140625,18170
2017-12-05,547.0,554.2000122070312,545.0,546.6500244140625,546.6500244140625,22838
2017-12-06,547.0499877929688,548.0,538.4000244140625,542.2000122070312,542.2000122070312,17775
2017-12-07,543.6500244140625,549.1500244140625,540.75,546.0,546.0,61600
2017-12-08,545.4000244140625,548.0,543.4500122070312,546.7000122070312,546.7000122070312,16973
2017-12-11,550.0,550.9000244140625,544.0,546.25,546.25,7664
2017-12-12,547.9000244140625,554.0,545.1500244140625,551.1500244140625,551.1500244140625,25500
2017-12-13,553.0,554.1500244140625,548.0,550.0499877929688,550.0499877929688,19293
2017-12-14,551.9000244140625,554.0999755859375,544.1500244140625,545.7000122070312,545.7000122070312,17221
2017-12-15,551.0,555.0,548.5499877929688,550.4000244140625,550.4000244140625,12414
