Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,360.0,371.0,349.0,367.20001220703125,327.5162048339844,202474
2008-01-03,367.20001220703125,372.79998779296875,353.0,355.8500061035156,317.392822265625,96926
2008-01-04,361.8999938964844,371.20001220703125,359.1000061035156,364.6000061035156,325.19720458984375,92003
2008-01-07,355.0,366.0,350.5,353.3999938964844,315.2076110839844,31319
2008-01-08,364.79998779296875,364.79998779296875,343.0,347.70001220703125,310.12359619140625,69459
2008-01-09,346.0,354.0,338.0,343.20001220703125,306.10992431640625,59056
2008-01-10,344.5,350.95001220703125,330.20001220703125,336.95001220703125,300.535400390625,62233
2008-01-11,341.6499938964844,341.6499938964844,320.0,325.20001220703125,290.05517578125,138386
2008-01-14,327.0,327.0,306.0,315.29998779296875,281.2250671386719,345112
2008-01-15,317.0,319.0,305.0,307.1000061035156,273.9112854003906,276433
2008-01-16,315.0,315.0,291.0,300.79998779296875,268.2921447753906,201975
2008-01-17,311.5,311.5,303.20001220703125,307.75,274.49102783203125,128981
2008-01-18,308.0,310.0,285.0,291.8500061035156,260.30938720703125,98324
2008-01-21,288.0,295.0,238.0,279.25,249.07101440429688,213078
2008-01-22,270.0,274.8999938964844,223.4499969482422,257.20001220703125,229.40406799316406,117754
2008-01-23,274.0,291.0,255.0,280.75,250.40896606445312,426039
2008-01-24,270.75,293.0,266.04998779296875,276.8500061035156,246.930419921875,77591
2008-01-25,279.6000061035156,291.0,276.1000061035156,286.1000061035156,255.18081665039062,361100
2008-01-28,275.0,293.0,272.0,286.3500061035156,255.40380859375,58598
2008-01-29,289.79998779296875,295.0,272.0,285.5,254.64564514160156,90062
2008-01-30,276.0,286.95001220703125,271.0,275.3500061035156,245.592529296875,60384
2008-01-31,280.0,280.0,262.0,266.1499938964844,237.3868408203125,56318
2008-02-01,279.45001220703125,279.45001220703125,240.1999969482422,254.9499969482422,227.397216796875,43332
2008-02-04,256.0,269.0,255.1999969482422,263.20001220703125,234.7556610107422,95333
2008-02-05,261.04998779296875,274.5,261.04998779296875,263.0,234.5772247314453,31112
2008-02-06,249.5500030517578,259.0,249.5500030517578,253.75,226.326904296875,52188
2008-02-07,255.0,274.8999938964844,245.0500030517578,249.39999389648438,222.4469757080078,96756
2008-02-08,254.1999969482422,254.1999969482422,242.0,245.5500030517578,219.01309204101562,31499
2008-02-11,245.0,247.0,225.0,236.8000030517578,211.20870971679688,51727
2008-02-12,248.0,277.0,223.5,233.35000610351562,208.13153076171875,56574
2008-02-13,243.8000030517578,257.0,234.0,250.3000030517578,223.24977111816406,73992
2008-02-14,260.0,269.0,260.0,265.5,236.8070526123047,35656
2008-02-15,261.0,290.0,254.0,288.20001220703125,257.0538024902344,112194
2008-02-18,288.25,295.0,276.1000061035156,283.29998779296875,252.6833953857422,50777
2008-02-19,289.0,289.0,275.0,278.6499938964844,248.5359344482422,27451
