id,date,polarity,subjectivity,compound
1,2021-01-03,0.08,0.37,0.93
7,2021-01-03,0.03,0.36,0.99
6,2021-01-03,0.25,0.29,0.98
9,2021-01-03,0.03,0.37,-0.98
3,2021-01-03,0.2,0.51,0.92
2,2021-01-03,-0.08,0.35,0.92
0,2021-01-03,0.11,0.32,0.38
4,2021-01-03,0.1,0.32,-0.4
5,2021-01-03,0.09,0.33,0.98
13,2021-01-03,0.03,0.48,0.99
8,2021-01-03,0.14,0.42,0.97
16,2021-01-03,0.08,0.23,0.74
17,2021-01-03,0.04,0.57,0.77
10,2021-01-03,0.09,0.41,0.99
12,2021-01-03,-0.14,0.24,-0.67
11,2021-01-03,0.12,0.44,1.0
15,2021-01-03,0.12,0.32,0.98
14,2021-01-03,0.11,0.38,0.99
18,2021-01-03,0.12,0.42,0.99
19,2021-01-03,-0.2,0.23,-0.59
20,2021-01-03,0.09,0.41,-0.56
27,2021-01-03,-0.01,0.48,0.02
21,2021-01-03,-0.01,0.55,-0.97
22,2021-01-03,0.16,0.44,1.0
23,2021-01-03,0.04,0.45,0.72
24,2021-01-03,0.39,0.44,1.0
25,2021-01-03,0.24,0.49,0.97
26,2021-01-03,0.09,0.35,0.88
35,2021-01-02,0.03,0.33,0.99
30,2021-01-03,0.09,0.36,-1.0
28,2021-01-03,-0.08,0.55,-0.78
29,2021-01-03,0.06,0.44,0.97
31,2021-01-03,0.12,0.37,1.0
32,2021-01-03,-0.04,0.4,0.92
34,2021-01-08,0.15,0.41,0.93
33,2021-01-03,0.1,0.46,0.88
37,2021-01-06,0.07,0.41,0.98
44,2021-01-03,0.05,0.33,0.97
38,2021-01-04,0.08,0.54,0.78
41,2021-01-03,0.13,0.44,0.97
40,2021-01-01,0.15,0.36,0.99
43,2021-01-03,0.05,0.54,0.99
42,2021-01-03,0.07,0.44,0.78
39,2021-01-07,0.1,0.38,0.98
51,2021-01-03,-0.15,0.41,-0.77
45,2021-01-03,0.13,0.4,1.0
47,2021-01-03,0.15,0.42,1.0
49,2021-01-03,0.23,0.48,0.99
48,2021-01-03,-0.05,0.52,-0.2
36,2021-01-05,0.03,0.09,0.32
46,2021-01-03,0.15,0.42,1.0
52,2021-01-03,0.05,0.54,0.99
53,2021-01-03,-0.08,0.36,-0.97
50,2021-01-03,-0.0,0.46,-0.93
58,2021-01-03,0.11,0.32,0.98
55,2021-01-03,0.06,0.26,0.83
62,2021-01-03,0.13,0.41,0.99
56,2021-01-03,0.05,0.25,-0.92
54,2021-01-03,-0.08,0.36,-0.97
61,2021-01-03,0.08,0.31,0.98
67,2021-01-03,0.1,0.21,0.61
57,2021-01-03,0.06,0.26,0.94
59,2021-01-03,0.09,0.44,0.77
60,2021-01-03,0.06,0.43,0.98
64,2021-01-03,0.08,0.47,0.96
72,2021-01-03,0.03,0.46,0.64
65,2021-01-03,0.08,0.58,0.93
63,2021-01-03,0.19,0.44,1.0
75,2021-01-03,0.05,0.41,-0.62
